,Unnamed: 0,Country Name,Counterpart-Area Name,Series Name,Series Code,Year,Value
64,2189,Ghana,Belgium,"GG, bilateral (TDS, current US$)",DT.TDS.BLAT.GG.CD,2020,2321131.7
65,2190,Ghana,Belgium,"GG, bilateral concessional (TDS, current US$)",DT.TDS.BLTC.GG.CD,2020,2321131.7
66,2192,Ghana,Belgium,"GG, commercial banks (TDS, current US$)",DT.TDS.PCBK.GG.CD,2020,24702698.5
67,2195,Ghana,Belgium,"GG, official creditors (TDS, current US$)",DT.TDS.OFFT.GG.CD,2020,2321131.7
68,2197,Ghana,Belgium,"GG, private creditors (TDS, current US$)",DT.TDS.PRVT.GG.CD,2020,24702698.5
69,2211,Ghana,Belgium,"PPG, bilateral (TDS, current US$)",DT.TDS.BLAT.CD,2020,2321131.7
70,2212,Ghana,Belgium,"PPG, bilateral concessional (TDS, current US$)",DT.TDS.BLTC.CD,2020,2321131.7
71,2214,Ghana,Belgium,"PPG, commercial banks (TDS, current US$)",DT.TDS.PCBK.CD,2020,24702698.5
72,2218,Ghana,Belgium,"PPG, official creditors (TDS, current US$)",DT.TDS.OFFT.CD,2020,2321131.7
73,2220,Ghana,Belgium,"PPG, private creditors (TDS, current US$)",DT.TDS.PRVT.CD,2020,24702698.5
74,2230,Ghana,Belgium,"PS, bilateral (TDS, current US$)",DT.TDS.BLAT.PS.CD,2020,2321131.7
75,2231,Ghana,Belgium,"PS, bilateral concessional (TDS, current US$)",DT.TDS.BLTC.PS.CD,2020,2321131.7
76,2233,Ghana,Belgium,"PS, commercial banks (TDS, current US$)",DT.TDS.PCBK.PS.CD,2020,24702698.5
77,2236,Ghana,Belgium,"PS, official creditors (TDS, current US$)",DT.TDS.OFFT.PS.CD,2020,2321131.7
78,2238,Ghana,Belgium,"PS, private creditors (TDS, current US$)",DT.TDS.PRVT.PS.CD,2020,24702698.5
79,2660,Ghana,Bondholders,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,2020,681165000.0
80,2671,Ghana,Bondholders,"Debt service on external debt, general government sector (PPG) (TDS, current US$)",DT.TDS.DEGG.CD,2020,1154277000.0
81,2672,Ghana,Bondholders,"Debt service on external debt, long-term (TDS, current US$)",DT.TDS.DLXF.CD,2020,1160607000.0
82,2675,Ghana,Bondholders,"Debt service on external debt, private nonguaranteed (PNG) (TDS, current US$)",DT.TDS.DPNG.CD,2020,6330000.0
83,2676,Ghana,Bondholders,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",DT.TDS.DPPG.CD,2020,1154277000.0
84,2677,Ghana,Bondholders,"Debt service on external debt, public sector (PPG) (TDS, current US$)",DT.TDS.DEPS.CD,2020,1154277000.0
85,2678,Ghana,Bondholders,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,2020,1160607000.0
86,2681,Ghana,Bondholders,"GG, bonds (TDS, current US$)",DT.TDS.PBND.GG.CD,2020,1154277000.0
87,2687,Ghana,Bondholders,"GG, private creditors (TDS, current US$)",DT.TDS.PRVT.GG.CD,2020,1154277000.0
88,2699,Ghana,Bondholders,"PNG, bonds (TDS, current US$)",DT.TDS.PNGB.CD,2020,6330000.0
89,2703,Ghana,Bondholders,"PPG, bonds (TDS, current US$)",DT.TDS.PBND.CD,2020,1154277000.0
90,2710,Ghana,Bondholders,"PPG, private creditors (TDS, current US$)",DT.TDS.PRVT.CD,2020,1154277000.0
91,2722,Ghana,Bondholders,"PS, bonds (TDS, current US$)",DT.TDS.PBND.PS.CD,2020,1154277000.0
92,2728,Ghana,Bondholders,"PS, private creditors (TDS, current US$)",DT.TDS.PRVT.PS.CD,2020,1154277000.0
