Classification Name;Country Name;Data;SUM([Data])/1000;SUM([Data])/1000
United Arab Emirates;Mali;6440061,3;6440,0613;6440,0613
India;Maldives;6417844,6;6417,8446;6417,8446
United Kingdom;Myanmar;6412919;6412,919;6412,919
Saudi Arabia;Niger;6316364,7;6316,3647;6316,3647
Brazil;Honduras;6289692,3;6289,6923;6289,6923
Kuwait;Tanzania;6264027,8;6264,0278;6264,0278
India;Angola;6146071,4;6146,0714;6146,0714
Belgium;Pakistan;6043644,4;6043,6444;6043,6444
India;Togo;5971952,4;5971,9524;5971,9524
Angola;Chad;5940692,3;5940,6923;5940,6923
France;Uzbekistan;5915973,9;5915,9739;5915,9739
Multiple Lenders;Haiti;5860853,2;5860,8532;5860,8532
Kuwait;Burkina Faso;5795384,7;5795,3847;5795,3847
India;Lao PDR;5720052,9;5720,0529;5720,0529
Korea, Republic Of;Ghana;5649287,1;5649,2871;5649,2871
Belarus;Bangladesh;5606000;5606;5606
Cameroon;Chad;5580736,1;5580,7361;5580,7361
Kuwait;Gambia, The;5580121,9;5580,1219;5580,1219
Congo, Rep.;Niger;5557614,7;5557,6147;5557,6147
India;Gambia, The;5517080,6;5517,0806;5517,0806
Venezuela, Republic Bolivarian;Guyana;5443226,2;5443,2262;5443,2262
Germany, Fed.Rep. Of;Mongolia;5419501,2;5419,5012;5419,5012
Spain;Cabo Verde;5324744;5324,744;5324,744
Poland;Angola;5316302,9;5316,3029;5316,3029
Kuwait;Rwanda;5272684,5;5272,6845;5272,6845
Spain;Senegal;5226641,9;5226,6419;5226,6419
Korea, Republic Of;Nepal;5190814,6;5190,8146;5190,8146
Spain;Mauritania;5147625,1;5147,6251;5147,6251
Qatar;Guinea;5047666,7;5047,6667;5047,6667
Saudi Arabia;Afghanistan;5045749,5;5045,7495;5045,7495
Kuwait;Togo;5010027,6;5010,0276;5010,0276
Kuwait;Honduras;4974175,7;4974,1757;4974,1757
Kuwait;Sierra Leone;4965427,3;4965,4273;4965,4273
Korea, Republic Of;Nicaragua;4845451,1;4845,4511;4845,4511
United Kingdom;Benin;4837334,6;4837,3346;4837,3346
Spain;Ghana;4800352,8;4800,3528;4800,3528
Iran, Islamic Republic Of;Nicaragua;4798500;4798,5;4798,5
Brazil;Benin;4796692,3;4796,6923;4796,6923
India;Guinea-Bissau;4778363,6;4778,3636;4778,3636
Germany, Fed.Rep. Of;Kyrgyz Republic;4682944,4;4682,9444;4682,9444
Poland;Ethiopia;4614187,1;4614,1871;4614,1871
Saudi Arabia;Gambia, The;4613406,2;4613,4062;4613,4062
Saudi Arabia;Burkina Faso;4554114;4554,114;4554,114
Kuwait;Mongolia;4544691,6;4544,6916;4544,6916
United Arab Emirates;Pakistan;4497363,6;4497,3636;4497,3636
United Arab Emirates;Bangladesh;4437282,7;4437,2827;4437,2827
France;Chad;4359377,5;4359,3775;4359,3775
Korea, Republic Of;Uzbekistan;4358552,8;4358,5528;4358,5528
India;Mongolia;4318035,3;4318,0353;4318,0353
Korea, Republic Of;Mongolia;4298373,1;4298,3731;4298,3731
Kuwait;Tajikistan;4233204,7;4233,2047;4233,2047
India;Djibouti;4116600;4116,6;4116,6
China;Liberia;4113347,4;4113,3474;4113,3474
Multiple Lenders;Congo, Rep.;4091000;4091;4091
Germany, Fed.Rep. Of;Ethiopia;4079625,2;4079,6252;4079,6252
Saudi Arabia;Rwanda;4069885,8;4069,8858;4069,8858
Kuwait;Malawi;4056293,1;4056,2931;4056,2931
Spain;Cote d'Ivoire;4013611,7;4013,6117;4013,6117
Thailand;Cambodia;4008719,4;4008,7194;4008,7194
Iraq;Mali;3985000;3985;3985
Belarus;Mongolia;3902486,6;3902,4866;3902,4866
China;Dominica;3897810,9;3897,8109;3897,8109
China;Cabo Verde;3829104,8;3829,1048;3829,1048
Kuwait;Niger;3809554,4;3809,5544;3809,5544
France;Benin;3809504,3;3809,5043;3809,5043
Finland;Kenya;3776994,5;3776,9945;3776,9945
France;Yemen, Rep.;3681044,6;3681,0446;3681,0446
Kuwait;Maldives;3665283,7;3665,2837;3665,2837
India;Sierra Leone;3455672,6;3455,6726;3455,6726
Kuwait;Mozambique;3434100,8;3434,1008;3434,1008
Japan;Timor-Leste;3362227,5;3362,2275;3362,2275
Korea, Republic Of;Mozambique;3341298,4;3341,2984;3341,2984
Kuwait;Lesotho;3331050,7;3331,0507;3331,0507
Saudi Arabia;Burundi;3269493,3;3269,4933;3269,4933
India;Cambodia;3247222,3;3247,2223;3247,2223
Kuwait;Cote d'Ivoire;3207889;3207,889;3207,889
Austria;Bhutan;3170147,5;3170,1475;3170,1475
Switzerland;Congo, Rep.;3124843,4;3124,8434;3124,8434
France;Dominica;3121361;3121,361;3121,361
